GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,IELTS,Internship,Work_Experience,Projects,Chance_of_Admit
321,112,2,2.7,4.5,9.85,0,8.1,1,2,2,0.75
321,98,4,2.1,4.6,10.0,1,7.0,4,3,1,0.67
306,102,2,2.9,3.1,9.2,1,6.7,2,3,6,0.7
321,92,2,4.5,1.1,7.03,1,6.0,2,4,2,0.42
310,80,3,1.2,1.4,6.92,0,5.8,0,3,1,0.29
314,108,2,4.9,3.3,7.01,0,7.0,1,0,7,0.52
323,103,3,5.0,1.5,9.95,1,8.5,1,3,4,0.77
262,95,1,3.4,1.6,7.34,1,7.4,3,4,6,0.33
310,104,1,2.3,4.1,8.83,0,7.1,4,2,6,0.65
266,102,3,1.9,4.0,9.84,1,6.6,2,3,1,0.49
280,107,1,2.1,4.4,9.28,0,6.0,2,4,1,0.5
332,95,4,1.2,1.4,8.39,0,9.0,0,3,1,0.63
298,117,1,2.9,1.8,6.68,0,5.6,0,3,1,0.36
277,90,3,1.2,4.3,6.7,0,6.6,4,2,5,0.17
263,82,4,3.9,3.9,7.97,0,8.2,0,4,7,0.3
319,94,2,2.5,4.2,9.81,0,7.3,0,3,7,0.75
273,80,2,1.8,5.0,9.62,0,6.6,2,2,2,0.28
268,86,2,3.2,4.5,6.66,0,9.0,4,5,2,0.1
312,80,3,4.9,3.1,7.15,0,7.7,2,4,3,0.33
261,111,2,3.8,2.2,8.36,1,6.5,2,1,7,0.42
319,88,1,3.0,3.3,7.91,1,8.5,0,4,5,0.49
330,108,2,4.1,3.6,6.48,0,6.0,2,3,2,0.43
303,105,5,3.9,2.3,7.48,1,7.1,4,3,5,0.53
267,102,5,4.6,4.1,9.82,1,8.4,0,4,1,0.54
306,108,2,1.8,1.4,9.81,0,8.9,4,2,1,0.55
294,117,2,4.4,4.1,8.24,0,6.8,1,4,2,0.48
337,112,5,2.2,1.1,8.54,0,6.0,4,3,4,0.82
340,86,2,4.8,3.0,6.89,1,7.5,4,3,2,0.43
295,91,4,2.1,4.4,8.97,0,8.8,3,0,4,0.4
309,110,5,4.7,1.3,6.21,0,7.8,4,2,1,0.42
263,111,3,4.9,3.1,6.88,1,7.6,2,0,6,0.35
261,99,5,1.6,1.6,6.02,1,6.6,2,5,3,0.2
265,96,1,4.9,4.6,7.54,1,7.6,0,3,1,0.24
313,115,4,1.3,4.3,9.4,0,8.6,1,2,5,0.8
263,82,3,1.9,4.7,9.93,1,6.8,0,2,1,0.34
313,80,2,2.8,4.5,8.67,0,6.3,4,2,1,0.42
322,106,1,5.0,3.9,8.98,1,7.2,4,5,5,0.67
277,119,1,3.0,1.7,7.05,1,6.8,2,4,7,0.48
303,112,4,3.2,2.2,8.08,1,7.1,4,4,1,0.59
293,99,3,3.8,3.0,8.95,1,5.8,4,3,6,0.59
333,93,1,4.9,3.4,7.99,0,6.7,2,5,2,0.61
321,115,3,4.1,4.1,6.35,1,8.4,1,2,7,0.6
273,84,3,1.9,1.9,8.96,0,6.9,4,2,1,0.37
307,102,1,2.2,1.5,6.88,0,8.9,3,2,7,0.4
274,94,3,1.4,2.9,6.39,0,8.0,1,4,7,0.22
331,85,4,3.6,1.6,7.91,0,6.8,1,3,6,0.64
337,112,1,1.7,3.8,6.3,0,6.4,2,2,5,0.49
321,98,4,2.0,3.3,8.52,0,7.9,0,2,1,0.6
299,92,4,4.6,4.0,8.56,1,6.6,4,1,5,0.58
339,108,3,2.3,1.3,7.03,0,8.7,4,5,7,0.69
312,85,3,3.3,4.9,9.86,1,5.9,0,0,4,0.56
283,94,1,2.6,1.0,9.3,1,5.6,4,5,5,0.48
285,95,2,1.3,2.3,6.44,0,6.3,3,5,7,0.32
319,103,1,2.5,3.7,8.99,1,7.6,0,5,3,0.67
300,102,4,2.6,1.2,7.41,0,8.4,2,4,2,0.43
288,89,3,4.6,1.3,9.0,1,6.1,0,1,1,0.41
274,120,4,2.3,1.3,9.2,0,7.5,1,3,7,0.62
304,120,5,2.5,3.3,6.61,0,6.0,2,0,2,0.46
324,96,5,4.1,4.6,8.65,1,7.5,1,3,6,0.64
330,109,4,4.0,3.2,9.45,0,5.6,2,4,1,0.73
268,89,2,4.2,3.4,7.29,0,7.5,0,5,6,0.32
260,98,2,4.8,2.4,6.32,1,7.3,1,3,6,0.2
267,108,1,4.2,1.1,6.11,0,5.6,2,2,4,0.14
322,81,1,2.6,1.1,6.44,1,7.9,4,2,7,0.36
270,115,1,4.3,4.6,6.02,0,7.5,1,5,2,0.29
340,98,3,3.0,1.4,7.31,1,7.7,3,3,7,0.58
267,86,2,2.1,5.0,7.2,0,7.4,2,3,1,0.15
294,105,4,2.2,1.7,6.44,1,8.0,4,3,4,0.42
294,94,5,1.9,3.7,8.6,0,7.3,4,3,3,0.44
292,117,2,1.6,4.8,9.97,0,8.7,0,2,7,0.73
264,82,2,1.7,2.4,9.6,0,8.8,0,5,6,0.34
300,117,2,1.3,3.9,7.01,1,8.0,1,1,1,0.41
287,95,1,4.6,2.4,9.08,0,8.7,1,1,4,0.48
266,81,3,4.7,2.2,9.75,0,8.7,3,3,6,0.48
332,110,4,3.3,1.8,9.63,1,6.4,4,3,3,0.81
331,107,1,4.4,4.3,9.54,1,9.0,2,0,3,0.78
271,86,3,1.7,2.0,9.15,0,6.4,3,3,3,0.38
293,109,2,4.6,2.1,7.17,1,5.6,3,1,1,0.41
292,86,3,3.0,5.0,6.33,0,8.9,3,4,4,0.21
307,115,1,1.3,2.3,7.95,1,6.3,2,4,1,0.5
282,108,2,1.6,2.7,6.22,1,7.5,3,3,5,0.3
321,103,1,2.2,5.0,9.99,1,8.9,0,5,6,0.76
296,118,4,1.2,2.5,7.43,0,5.7,0,3,2,0.48
303,83,2,2.2,2.5,9.83,0,6.4,0,4,4,0.49
294,108,3,1.2,4.3,9.09,0,7.6,3,0,6,0.6
324,84,1,1.9,2.2,7.65,0,8.2,3,1,6,0.43
306,108,5,2.1,1.9,6.47,1,8.3,4,5,4,0.5
337,109,3,5.0,2.7,6.95,0,8.6,1,3,1,0.53
262,108,3,1.9,3.8,8.69,0,6.1,4,3,5,0.47
260,105,2,2.0,1.2,9.32,0,6.8,0,0,4,0.45
264,98,3,3.7,2.5,9.92,1,8.0,1,1,7,0.52
273,105,1,4.4,2.4,6.53,1,8.0,4,3,5,0.28
286,116,5,2.5,2.0,6.62,0,6.6,2,5,2,0.39
268,106,4,4.5,3.6,6.17,1,6.6,2,1,4,0.28
338,109,5,2.4,2.2,7.04,1,6.6,2,1,6,0.7
274,109,1,1.8,3.4,9.28,1,8.6,0,5,6,0.53
301,82,2,2.3,3.0,6.79,1,8.7,1,4,5,0.3
336,86,1,3.4,1.9,8.19,1,5.6,0,3,5,0.58
310,88,3,2.5,2.1,7.79,0,6.6,2,4,5,0.33
322,120,2,3.7,1.7,7.3,1,6.9,3,1,5,0.67
311,92,4,1.9,1.2,8.47,1,8.9,0,3,6,0.55
263,94,4,3.8,3.5,8.01,1,8.8,1,2,1,0.28
282,84,1,2.4,3.7,7.34,0,7.7,0,2,7,0.25
274,108,3,2.8,1.7,8.76,1,5.7,1,0,4,0.53
302,114,4,3.2,3.5,7.12,1,6.2,3,5,7,0.61
288,106,5,3.7,4.9,8.57,1,7.0,4,4,1,0.52
295,106,2,2.0,1.3,9.83,1,8.9,1,5,7,0.69
272,87,5,4.3,3.0,8.92,0,5.8,1,1,5,0.41
291,111,4,3.9,3.9,7.67,0,8.3,2,2,3,0.47
330,99,4,1.9,1.2,8.99,0,6.2,2,3,4,0.73
318,89,1,4.9,4.1,9.24,0,7.3,3,5,1,0.65
287,92,1,3.7,4.9,7.3,1,8.2,0,5,5,0.33
325,108,2,2.8,1.4,8.82,0,7.9,4,1,5,0.71
301,114,1,1.6,4.3,7.74,0,8.2,4,5,4,0.47
304,87,3,3.1,2.5,9.27,0,8.3,3,0,2,0.47
321,108,2,1.7,1.6,7.18,1,6.6,4,1,7,0.55
316,110,3,2.7,3.0,9.75,0,6.8,0,0,7,0.83
265,120,1,2.6,1.3,8.3,1,8.4,2,1,4,0.5
287,109,2,3.9,3.1,7.41,1,5.6,3,3,1,0.38
287,101,4,1.8,1.1,7.68,1,7.3,4,4,2,0.43
303,100,5,4.3,3.9,7.39,0,8.7,3,2,4,0.5
289,91,4,2.3,3.0,6.58,0,8.6,3,1,6,0.36
321,90,3,2.8,2.8,6.27,0,8.3,1,1,4,0.38
334,81,4,4.1,1.8,7.29,0,5.6,1,3,4,0.47
321,120,4,3.5,2.4,7.83,1,8.6,3,3,6,0.78
260,81,5,2.2,1.7,7.45,0,8.7,1,2,6,0.18
286,113,5,2.5,3.9,6.06,0,7.8,4,1,3,0.27
321,82,4,2.2,1.8,8.32,0,6.5,3,3,6,0.58
336,95,5,3.4,3.5,6.58,1,7.2,1,4,7,0.56
262,83,4,2.3,2.1,6.84,1,8.2,4,0,4,0.23
329,102,2,3.9,3.6,6.48,1,8.3,2,0,1,0.53
331,99,4,3.3,3.2,8.08,1,6.7,2,3,5,0.73
286,104,1,1.6,2.7,6.38,0,6.6,3,2,1,0.12
268,109,5,2.2,3.7,7.03,1,8.1,0,3,4,0.4
321,97,5,1.9,2.7,7.81,1,7.9,4,3,2,0.54
296,90,3,2.6,4.3,6.67,0,7.3,3,0,3,0.26
310,108,3,3.1,3.9,7.78,0,7.0,1,3,3,0.55
303,96,1,3.0,3.2,7.37,0,7.8,2,2,6,0.39
283,105,5,4.0,4.5,9.44,1,5.6,1,0,3,0.62
338,102,5,1.8,4.3,9.18,1,5.8,4,5,6,0.87
318,99,3,4.8,3.1,9.97,0,7.5,3,0,2,0.67
291,81,3,2.4,1.3,8.12,1,6.2,2,0,2,0.36
311,103,4,2.2,3.3,8.3,0,8.2,4,4,7,0.6
321,110,5,3.7,2.4,9.79,0,8.2,2,1,2,0.78
317,106,5,4.2,3.2,7.6,1,8.0,2,3,2,0.63
311,81,4,2.5,3.6,8.22,0,8.7,3,4,1,0.43
271,93,5,4.0,3.6,7.52,0,6.0,3,3,5,0.32
298,83,1,4.5,3.7,8.18,1,6.4,0,2,2,0.42
261,92,3,4.1,3.7,6.32,1,6.4,0,5,6,0.18
262,115,3,1.1,1.4,9.14,1,8.2,0,1,5,0.52
315,114,3,4.3,1.8,9.94,1,7.3,0,3,4,0.77
340,87,2,4.1,3.5,6.26,0,6.4,1,3,5,0.36
318,81,1,3.7,2.6,9.2,1,6.0,0,1,4,0.51
261,85,1,4.0,4.1,6.97,1,8.6,1,2,3,0.14
261,110,4,4.9,1.5,6.79,0,7.9,2,2,4,0.3
313,89,2,2.7,1.8,8.77,0,7.3,1,3,7,0.52
260,100,5,1.3,3.2,6.18,0,8.9,2,1,1,0.13
278,89,1,2.8,3.0,7.85,0,8.5,0,0,4,0.21
261,102,2,1.2,2.1,6.01,1,6.1,1,0,3,0.26
312,82,2,2.2,2.6,8.22,1,7.3,2,5,7,0.56
303,111,1,3.3,1.1,7.85,1,7.2,0,4,3,0.49
291,99,4,2.2,1.1,9.66,0,8.5,2,5,6,0.62
329,89,2,3.7,1.4,8.88,0,6.0,3,1,5,0.57
291,108,3,4.3,3.3,6.5,0,7.1,2,2,7,0.44
327,120,2,2.7,4.5,7.42,0,7.7,0,4,5,0.67
314,113,5,4.6,2.0,9.73,0,8.8,4,2,6,0.75
334,116,1,1.3,1.1,8.9,1,8.6,3,4,3,0.72
315,99,5,4.4,3.8,8.38,1,7.4,1,2,4,0.62
276,87,4,4.3,4.4,8.24,0,7.6,3,3,6,0.43
297,86,3,2.3,1.6,7.59,0,8.5,0,2,4,0.34
283,85,1,2.2,2.5,8.34,1,8.1,2,1,2,0.38
328,90,2,2.2,1.6,9.09,1,8.6,4,4,7,0.69
329,97,3,4.2,1.4,6.51,1,8.6,0,0,6,0.48
270,108,2,4.3,3.6,9.88,0,8.4,2,3,1,0.48
275,104,4,2.3,4.9,6.96,0,5.5,0,5,4,0.35
332,100,1,3.4,3.7,7.79,0,6.6,4,2,6,0.62
318,82,4,1.6,4.9,6.09,1,6.9,2,0,6,0.4
329,97,4,2.9,2.7,8.2,1,7.9,4,5,3,0.63
339,103,4,5.0,4.6,7.53,1,6.6,2,5,1,0.63
262,117,4,1.6,1.8,7.0,0,6.6,3,5,5,0.45
279,89,2,4.8,1.5,9.94,1,6.9,0,4,3,0.59
318,106,5,4.3,3.8,7.71,0,8.8,1,3,3,0.58
295,91,2,4.9,2.5,7.66,0,7.0,1,5,7,0.34
278,86,3,1.7,2.3,7.85,0,6.0,0,3,5,0.32
326,96,4,1.9,3.7,6.46,0,5.5,1,3,7,0.5
278,80,3,1.1,2.3,7.57,1,6.3,4,5,4,0.22
279,105,2,3.9,3.3,7.35,0,8.8,1,0,7,0.4
330,94,4,3.6,2.2,7.86,1,8.8,0,5,5,0.57
311,112,2,1.7,4.1,9.43,0,7.4,3,4,3,0.69
292,116,4,4.2,2.2,6.77,1,7.8,0,2,7,0.54
299,110,2,2.2,3.1,8.43,1,8.3,0,4,4,0.6
298,114,1,1.5,1.1,6.15,0,5.7,2,3,6,0.44
260,80,5,2.7,4.2,7.27,0,6.8,1,4,6,0.22
270,87,5,1.4,3.5,7.89,0,7.7,1,2,5,0.35
316,91,4,2.1,1.8,6.3,1,8.6,2,5,4,0.45
309,98,1,2.5,1.9,8.18,1,8.0,4,5,6,0.53
282,104,3,4.4,2.0,7.24,0,6.7,4,5,7,0.4
290,111,1,4.2,3.3,9.97,0,8.7,2,4,1,0.57
301,91,4,2.8,3.2,8.52,1,7.8,1,5,7,0.53
266,92,1,3.9,2.1,6.98,0,8.4,4,5,4,0.17
275,107,3,3.3,3.8,6.41,0,6.8,4,5,6,0.35
319,80,4,2.4,4.6,6.16,0,5.5,3,3,6,0.37
261,85,5,3.9,1.2,6.36,0,6.1,4,3,6,0.09
260,87,1,3.7,2.7,8.72,1,8.7,1,2,3,0.36
307,83,5,3.5,3.4,9.42,1,5.6,3,1,5,0.63
271,84,5,3.5,3.3,6.63,0,7.6,3,4,4,0.2
328,104,2,3.7,1.1,7.61,0,6.9,1,3,7,0.55
296,101,3,2.5,1.8,7.42,1,7.0,2,5,2,0.37
291,107,1,4.5,1.2,8.58,0,6.9,0,4,5,0.57
268,118,5,1.6,3.3,6.73,0,5.7,4,2,7,0.45
278,102,5,4.5,3.6,9.81,1,5.9,2,0,5,0.66
307,83,3,2.4,1.6,8.91,1,5.7,0,0,7,0.55
339,83,5,1.5,2.3,9.82,1,5.7,1,5,2,0.77
262,100,5,3.4,2.3,7.11,1,5.8,4,5,4,0.25
279,116,5,2.5,4.3,8.35,1,7.9,2,3,1,0.47
283,120,5,4.3,1.8,8.93,1,5.9,0,2,3,0.67
313,81,2,2.7,3.2,8.84,1,6.4,1,2,1,0.43
292,86,2,3.7,4.1,6.09,0,7.8,3,4,3,0.19
283,95,4,2.2,4.3,9.99,0,5.9,3,3,3,0.47
334,96,1,1.8,3.7,9.71,1,8.7,3,0,5,0.63
331,99,3,2.6,2.2,6.48,0,7.2,1,2,3,0.42
295,102,4,3.4,4.3,8.17,1,8.9,0,5,5,0.52
297,113,2,3.6,4.0,7.26,1,6.2,1,2,2,0.42
284,90,2,3.3,3.8,9.52,1,5.6,3,0,7,0.56
277,113,2,5.0,1.3,8.79,0,7.6,1,4,3,0.53
325,112,4,3.8,1.2,6.89,1,6.7,4,4,2,0.59
313,105,2,4.7,3.8,6.14,1,7.5,0,4,1,0.33
294,81,4,1.5,4.8,7.17,0,7.2,4,4,7,0.36
339,102,2,1.2,4.1,6.15,1,7.1,3,3,5,0.47
320,120,5,2.2,4.3,6.57,0,8.5,0,4,5,0.67
300,101,5,1.5,3.2,8.54,0,6.2,4,4,4,0.56
292,113,1,3.1,2.2,8.98,1,7.2,1,3,3,0.55
327,94,2,3.1,3.7,7.87,1,7.0,2,2,4,0.56
292,89,1,3.3,3.8,8.4,0,7.9,1,1,7,0.44
273,94,4,4.0,3.7,6.62,1,5.7,3,4,4,0.29
280,108,1,4.9,4.8,7.27,1,7.4,2,1,2,0.28
307,102,2,4.5,2.5,8.85,1,7.2,0,5,5,0.58
279,96,4,1.5,1.2,7.46,0,8.9,2,0,6,0.39
267,88,4,2.4,4.6,7.4,1,8.1,0,1,2,0.28
266,115,5,2.0,1.6,6.78,1,6.0,4,0,6,0.54
326,88,4,1.7,3.8,8.38,1,7.3,4,1,5,0.66
276,95,4,3.2,4.5,9.24,0,8.2,4,4,5,0.45
292,115,1,3.2,2.2,7.88,1,7.3,4,5,4,0.59
307,112,4,1.9,4.3,6.46,0,6.7,4,1,2,0.46
335,110,3,3.8,2.3,9.35,0,6.8,2,2,2,0.81
318,85,5,3.9,4.2,6.29,0,6.8,0,5,6,0.4
281,89,5,1.1,1.3,7.89,0,5.6,4,1,5,0.43
289,95,4,2.6,3.6,7.04,0,8.1,4,0,2,0.36
297,83,1,4.6,3.7,9.75,0,7.6,0,2,3,0.5
310,101,5,3.1,3.0,8.95,0,6.4,2,5,7,0.65
313,92,5,2.4,3.7,8.27,0,7.7,4,1,2,0.49
267,95,3,2.0,4.7,8.67,0,6.6,2,0,1,0.29
286,108,4,2.0,3.9,8.13,1,6.4,4,5,2,0.49
286,85,5,1.4,4.8,6.59,0,8.1,2,0,3,0.28
280,105,5,4.3,2.8,8.84,0,8.3,3,4,6,0.57
289,90,5,1.3,3.1,7.97,1,7.7,4,0,2,0.37
287,103,5,2.2,2.1,8.54,1,8.2,4,5,3,0.56
323,108,1,1.2,4.9,6.18,0,6.8,1,2,1,0.35
328,82,2,4.1,1.2,6.57,1,5.8,1,3,7,0.45
320,89,3,1.2,2.4,8.36,1,7.6,2,0,6,0.64
307,80,1,2.2,2.2,7.84,0,6.4,1,2,4,0.31
278,105,3,3.3,2.5,6.91,0,8.2,2,5,5,0.35
263,91,5,2.6,4.7,6.96,0,6.8,4,3,5,0.21
294,93,3,2.1,2.5,8.53,0,7.8,4,1,5,0.54
323,104,4,2.1,4.7,6.24,0,7.4,3,0,7,0.6
308,87,4,4.2,2.7,7.74,0,8.4,3,4,1,0.41
276,83,2,4.9,4.4,8.09,0,8.4,1,1,1,0.28
303,107,2,2.4,3.1,7.23,0,5.7,4,4,3,0.49
289,86,3,1.2,2.2,9.28,0,6.5,2,2,1,0.45
305,89,1,1.1,2.8,6.23,1,8.5,1,2,4,0.26
265,115,1,4.0,2.7,9.46,1,6.9,3,5,3,0.5
296,81,5,3.2,2.0,8.89,1,7.3,0,3,7,0.51
283,105,1,4.1,2.2,7.79,1,6.1,2,4,4,0.35
305,93,2,3.8,1.7,9.7,1,7.4,0,2,4,0.65
312,95,1,4.6,2.3,8.81,0,6.4,1,5,7,0.53
319,96,5,4.5,3.5,9.72,0,8.4,1,4,6,0.76
322,101,4,4.2,2.5,7.89,0,6.2,0,2,2,0.52
291,83,1,2.9,3.8,7.81,0,6.8,1,4,5,0.31
292,98,1,2.2,4.9,8.12,1,5.8,1,5,4,0.47
326,81,2,3.0,2.5,6.26,0,7.6,4,3,5,0.4
277,118,3,3.0,2.9,9.63,0,8.8,2,1,3,0.64
284,88,4,3.4,1.7,8.67,1,6.1,3,0,5,0.45
313,98,3,1.7,2.6,8.47,0,5.6,4,2,1,0.52
317,95,5,3.6,3.9,9.71,1,7.0,1,5,5,0.68
326,104,5,2.8,1.9,9.97,0,8.1,3,5,1,0.78
305,97,3,3.5,1.7,6.65,1,8.9,1,5,2,0.37
283,102,2,2.0,2.5,9.0,1,5.7,2,5,2,0.45
291,100,2,2.7,4.3,8.32,0,8.3,1,5,4,0.49
306,90,2,1.8,3.5,7.84,0,6.8,0,4,1,0.44
282,118,4,4.5,4.8,9.91,0,6.0,0,2,1,0.62
325,120,5,3.0,4.6,9.4,0,6.2,0,2,5,0.82
286,83,5,1.9,1.6,8.79,0,8.7,0,0,7,0.44
261,104,5,1.2,1.2,7.53,1,8.3,3,3,2,0.35
276,111,4,3.7,2.6,8.66,1,6.6,0,0,1,0.44
292,109,5,1.9,3.1,8.13,1,8.8,1,1,3,0.55
268,105,3,5.0,3.1,7.0,1,5.9,4,1,2,0.28
302,115,1,3.1,1.5,7.8,0,6.6,1,1,4,0.54
307,113,4,2.2,1.5,6.85,1,7.8,1,1,4,0.55
298,88,1,3.6,1.2,8.0,0,9.0,1,1,6,0.36
301,91,3,2.1,4.4,8.88,1,7.1,1,4,2,0.53
285,81,2,4.3,4.8,6.15,0,8.3,4,2,1,0.13
309,117,2,2.2,1.5,9.06,0,8.7,0,4,4,0.67
284,84,2,5.0,1.9,6.08,0,5.5,2,4,2,0.11
283,84,4,3.4,1.4,8.07,0,6.5,3,0,5,0.34
272,101,2,4.4,4.5,8.29,1,5.9,4,0,1,0.36
319,84,4,1.3,4.8,9.04,1,8.2,4,4,2,0.53
266,83,4,2.4,2.0,9.04,1,7.5,4,1,5,0.36
316,88,1,3.9,2.2,7.67,1,5.8,3,3,7,0.5
295,108,2,3.6,2.5,6.27,1,7.0,1,2,3,0.34
304,101,5,1.8,3.0,8.77,1,7.3,3,1,7,0.69
279,106,2,2.4,3.7,8.04,0,7.9,4,0,4,0.41
324,89,2,2.1,3.0,7.33,1,8.2,1,4,2,0.43
267,95,2,3.5,4.8,6.94,0,5.8,4,5,7,0.27
275,89,5,2.4,1.4,6.48,0,7.2,2,5,6,0.23
273,85,5,2.2,4.2,7.18,0,6.1,0,0,1,0.18
335,84,4,1.8,2.3,7.83,1,8.1,0,2,5,0.56
274,85,5,2.6,2.5,7.91,0,7.8,4,4,2,0.2
325,104,4,1.8,3.8,8.33,1,8.0,1,3,2,0.56
291,83,1,4.9,4.7,7.45,1,5.8,2,4,5,0.28
322,119,4,1.6,3.9,9.68,1,7.3,2,0,6,0.83
310,111,2,4.7,4.1,7.98,0,8.4,1,1,2,0.56
284,114,3,2.7,4.0,7.69,0,8.0,1,0,1,0.47
317,89,3,2.5,2.3,6.19,1,8.5,2,2,4,0.38
322,113,2,1.9,4.0,8.4,1,6.2,0,3,7,0.65
321,115,4,3.5,4.1,8.41,0,6.5,0,5,1,0.59
281,85,2,3.7,3.1,8.33,1,7.0,2,2,1,0.33
317,95,5,2.9,3.1,9.55,1,7.3,3,2,4,0.69
317,98,4,1.2,4.0,9.05,0,6.4,2,1,6,0.59
308,113,2,4.7,4.3,9.47,1,6.8,4,0,2,0.65
311,104,5,4.9,2.3,6.24,1,7.9,3,1,5,0.43
301,110,5,2.7,4.2,7.27,1,7.8,1,1,5,0.6
329,120,4,3.5,4.3,7.27,1,5.9,2,4,3,0.7
274,96,1,2.8,1.9,8.63,1,8.9,2,0,1,0.35
313,109,1,2.3,3.9,7.79,1,7.5,3,5,4,0.57
319,118,5,1.3,1.7,9.11,1,7.2,2,4,5,0.82
267,110,1,2.8,1.4,7.54,0,8.9,4,5,4,0.34
312,98,5,4.3,3.3,6.89,0,6.0,0,0,5,0.54
319,114,1,1.1,4.6,7.16,1,7.4,2,1,7,0.66
264,108,5,3.3,1.1,6.73,0,8.3,0,3,4,0.36
327,80,5,4.5,4.3,6.79,1,6.9,1,4,1,0.41
265,83,5,1.9,3.0,6.87,1,8.1,1,0,3,0.18
306,107,5,1.7,4.4,6.06,0,8.6,2,4,3,0.35
314,97,3,4.1,4.4,8.86,0,6.4,1,0,1,0.51
299,105,1,2.0,4.5,7.6,1,6.3,2,4,7,0.55
311,119,5,1.8,4.1,6.09,0,6.8,0,3,6,0.47
275,98,2,2.5,4.4,7.48,0,7.0,3,0,7,0.34
272,85,4,2.6,1.7,9.62,0,5.9,2,3,6,0.4
289,80,2,4.5,2.2,8.04,1,6.3,3,5,2,0.31
278,87,2,3.5,2.0,9.95,1,8.6,0,3,2,0.42
276,112,3,2.6,4.0,8.16,0,7.5,0,5,4,0.49
322,100,1,3.1,1.6,9.85,1,6.4,3,3,1,0.67
278,103,3,4.8,1.7,6.81,1,8.8,2,4,1,0.26
317,104,1,1.5,4.5,7.16,0,8.2,3,2,4,0.43
314,98,5,1.8,3.8,8.8,1,6.8,2,1,7,0.69
321,108,3,4.9,4.5,9.95,0,8.2,2,2,4,0.77
282,89,4,4.8,1.6,9.3,0,7.6,3,2,5,0.46
268,91,1,1.7,2.6,8.21,0,7.9,0,4,3,0.26
271,112,3,1.6,2.1,6.34,1,6.6,4,2,5,0.31
260,86,4,2.7,1.0,7.46,1,6.2,1,2,4,0.15
317,96,2,1.2,2.1,6.35,1,6.4,4,4,4,0.4
260,89,5,3.6,2.5,7.25,1,5.8,0,1,4,0.19
293,110,5,1.3,1.4,7.04,1,7.1,1,1,7,0.48
307,85,2,1.2,3.3,7.55,0,6.9,3,2,5,0.4
260,96,3,2.9,2.5,9.35,0,5.5,4,1,3,0.38
275,116,2,4.8,1.2,6.6,1,8.5,2,4,4,0.42
320,97,4,2.7,3.8,7.22,1,7.9,0,3,2,0.46
323,105,1,2.4,3.9,7.04,1,7.1,0,0,3,0.49
322,95,3,5.0,4.3,7.18,0,8.9,0,4,2,0.45
328,87,1,3.1,2.9,7.44,1,8.8,4,1,2,0.45
281,103,2,2.5,4.9,6.98,1,5.8,2,2,3,0.38
326,92,5,2.5,4.7,9.77,1,7.7,4,5,2,0.74
335,108,1,1.8,3.2,7.68,1,8.4,2,1,1,0.65
285,111,1,3.0,2.8,6.46,0,6.1,1,5,7,0.3
275,103,5,2.8,1.0,7.87,1,5.9,3,2,5,0.48
310,95,1,2.1,3.8,6.74,1,6.4,0,0,4,0.35
316,90,1,1.6,3.3,6.86,1,6.5,2,3,1,0.37
288,111,5,2.2,4.8,7.14,0,8.9,4,3,4,0.44
337,85,5,3.0,3.4,6.5,1,8.2,4,4,7,0.49
328,114,2,1.2,5.0,8.88,0,5.7,0,0,4,0.77
